"","s__Bifidobacterium_adolescentis","s__Bifidobacterium_bifidum","s__Bifidobacterium_longum","s__Bifidobacterium_pseudocatenulatum","s__Collinsella_aerofaciens","s__Collinsella_intestinalis","s__Collinsella_stercoris","s__Eggerthella_lenta","s__Bacteroides_caccae","s__Bacteroides_cellulosilyticus","s__Bacteroides_dorei","s__Bacteroides_eggerthii","s__Bacteroides_faecis","s__Bacteroides_faecis_CAG_32","s__Bacteroides_finegoldii","s__Bacteroides_fragilis","s__Bacteroides_massiliensis","s__Bacteroides_ovatus","s__Bacteroides_stercoris","s__Bacteroides_thetaiotaomicron","s__Bacteroides_uniformis","s__Bacteroides_vulgatus","s__Bacteroides_xylanisolvens","s__Barnesiella_intestinihominis","s__Coprobacter_fastidiosus","s__Butyricimonas_synergistica","s__Butyricimonas_virosa","s__Odoribacter_splanchnicus","s__Paraprevotella_xylaniphila","s__Prevotella_copri","s__Alistipes_finegoldii","s__Alistipes_indistinctus","s__Alistipes_putredinis","s__Alistipes_shahii","s__Parabacteroides_distasonis","s__Parabacteroides_goldsteinii","s__Parabacteroides_merdae","s__Lactobacillus_rogosae","s__Streptococcus_parasanguinis","s__Streptococcus_salivarius","s__Streptococcus_thermophilus","s__Clostridium_bolteae_CAG_59","s__Clostridium_sp_CAG_242","s__Clostridium_sp_CAG_58","s__Hungatella_hathewayi","s__Intestinimonas_butyriciproducens","s__Lawsonibacter_asaccharolyticus","s__Monoglobus_pectinilyticus","s__Eubacterium_eligens","s__Eubacterium_hallii","s__Eubacterium_ramulus","s__Eubacterium_sp_CAG_38","s__Eubacterium_ventriosum","s__Anaerostipes_hadrus","s__Anaerotignum_lactatifermentans","s__Blautia_obeum","s__Blautia_sp_CAG_257","s__Blautia_wexlerae","s__Ruminococcus_gnavus","s__Ruminococcus_torques","s__Coprococcus_catus","s__Coprococcus_comes","s__Dorea_formicigenerans","s__Dorea_longicatena","s__Eisenbergiella_massiliensis","s__Eisenbergiella_tayi","s__Fusicatenibacter_saccharivorans","s__Clostridium_aldenense","s__Clostridium_asparagiforme","s__Clostridium_bolteae","s__Clostridium_citroniae","s__Clostridium_clostridioforme","s__Clostridium_lavalense","s__Clostridium_saccharolyticum","s__Clostridium_symbiosum","s__Lachnospira_pectinoschiza","s__Eubacterium_rectale","s__Roseburia_faecis","s__Roseburia_hominis","s__Roseburia_intestinalis","s__Roseburia_inulinivorans","s__Sellimonas_intestinalis","s__Oscillibacter_sp_57_20","s__Oscillibacter_sp_CAG_241","s__Intestinibacter_bartlettii","s__Agathobaculum_butyriciproducens","s__Anaeromassilibacillus_sp_An250","s__Anaerotruncus_colihominis","s__Faecalibacterium_prausnitzii","s__Flavonifractor_plautii","s__Gemmiger_formicilis","s__Clostridium_leptum","s__Eubacterium_siraeum","s__Ruminococcaceae_bacterium_D16","s__Ruminococcus_bicirculans","s__Ruminococcus_bromii","s__Ruminococcus_lactaris","s__Ruthenibacterium_lactatiformans","s__Dielma_fastidiosa","s__Clostridium_innocuum","s__Clostridium_spiroforme","s__Erysipelatoclostridium_ramosum","s__Holdemania_filiformis","s__Firmicutes_bacterium_CAG_83","s__Firmicutes_bacterium_CAG_94","s__Acidaminococcus_intestini","s__Phascolarctobacterium_faecium","s__Dialister_invisus","s__Veillonella_atypica","s__Veillonella_dispar","s__Veillonella_infantium","s__Veillonella_parvula","s__Veillonella_sp_T11011_6","s__Parasutterella_excrementihominis","s__Sutterella_parvirubra","s__Turicimonas_muris","s__Bilophila_wadsworthia","s__Escherichia_coli","s__Haemophilus_parainfluenzae","s__Haemophilus_sp_HMSC71H05","s__Proteobacteria_bacterium_CAG_139","s__Akkermansia_muciniphila"
"CSM5FZ4M",-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,14.0862995687051,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,12.9697120329125,-3.33694657339285,10.9298758817483,13.77738568781,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,8.26865834131653,8.82789253461153,-3.33694657339285,-3.33694657339285,9.05328344279336,-3.33694657339285,11.8674352725614,-3.33694657339285,12.1149244117589,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,7.46468810678115,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,8.08781412241393,-3.33694657339285,7.34542998114815,-3.33694657339285,-3.33694657339285,-3.33694657339285,8.5087370968577,-3.33694657339285,-3.33694657339285,7.33133417515567,-3.33694657339285,-3.33694657339285,8.42010868316697,7.93328293165968,9.02596314038989,-3.33694657339285,-3.33694657339285,8.34825852999082,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,4.98203955199921,-3.33694657339285,6.63704604002863,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,8.94103269452618,-3.33694657339285,4.56812627610582,5.83371698143044,-3.33694657339285,12.2345237224097,8.98250386338147,-3.33694657339285,6.42791089597375,8.60151456493935,-3.33694657339285,-3.33694657339285,9.65024063090541,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,6.67004477215794,5.69079220258206,-3.33694657339285,10.932426163725,7.95409704398018,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285,3.80271376257207,7.38148535007167,-3.33694657339285,-3.33694657339285,-3.33694657339285,-3.33694657339285
"CSM5MCUO",3.90031326848217,-5.49658965454523,3.75594776613075,-5.49658965454523,4.91795349531095,-5.49658965454523,-5.49658965454523,-5.49658965454523,8.85138922521809,3.96847045217991,-5.49658965454523,-5.49658965454523,6.23620199704182,5.85758623855272,-5.49658965454523,7.41295419494254,-5.49658965454523,8.83343830418259,10.084511091151,5.36894562720279,9.82298296674443,11.7448554820435,-5.49658965454523,8.40710667387197,-5.49658965454523,5.01886213772516,4.27912134304874,6.65751051863983,7.94466517634504,-5.49658965454523,7.44156478608356,-5.49658965454523,9.49329629375802,4.53401501305037,-5.49658965454523,-5.49658965454523,6.49095999842896,5.55653594526206,-5.49658965454523,-5.49658965454523,-5.49658965454523,-5.49658965454523,6.24196427179134,6.88259981389922,-5.49658965454523,-5.49658965454523,-5.49658965454523,-5.49658965454523,10.2375759845979,3.33556025145767,4.01540965681353,-5.49658965454523,-5.49658965454523,8.24001946092126,-5.49658965454523,5.4617498516637,-5.49658965454523,-5.49658965454523,-5.49658965454523,5.69269489911895,-5.49658965454523,5.84175620721911,7.98351949325848,7.67969545986285,-5.49658965454523,-5.49658965454523,6.53763242155824,-5.49658965454523,-5.49658965454523,-5.49658965454523,1.74835189179178,-5.49658965454523,-5.49658965454523,-5.49658965454523,-5.49658965454523,9.36052570803321,8.98943436291609,-5.49658965454523,-5.49658965454523,9.63959108762368,7.71358494655272,-5.49658965454523,7.51908120937481,-5.49658965454523,-5.49658965454523,4.64556040496278,-5.49658965454523,-5.49658965454523,10.3633582598841,4.69586664232528,-5.49658965454523,-5.49658965454523,-5.49658965454523,-5.49658965454523,10.5275689833836,-5.49658965454523,4.70109619367048,-5.49658965454523,4.24149245357326,-5.49658965454523,-5.49658965454523,-5.49658965454523,5.94366833871369,4.89795949371575,-5.49658965454523,-5.49658965454523,-5.49658965454523,-5.49658965454523,-5.49658965454523,-5.49658965454523,-5.49658965454523,-5.49658965454523,-5.49658965454523,8.40617233492662,2.87465248138671,3.56304410000625,3.36716753705902,6.49573887623525,2.75429149015542,-5.49658965454523,5.59734463613512,-5.49658965454523
"CSM5MCVL",-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,9.24688489606575,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,14.5176685654005,-2.06479304043949,-2.06479304043949,-2.06479304043949,14.2850562682539,-2.06479304043949,15.795828609832,12.9434759754664,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,8.54552267971244,-2.06479304043949,-2.06479304043949,8.84319756620358,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,12.0661419376377,12.4037044637196,11.3288501243984,-2.06479304043949,-2.06479304043949,11.3944582014865,8.19919712116969,11.9320894569081,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,12.6321521733443,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,7.44572599531775,-2.06479304043949,-2.06479304043949,-2.06479304043949,10.8102903308758,-2.06479304043949,7.86441099060127,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949,11.4436636849402,-2.06479304043949,-2.06479304043949,10.9753641239338,-2.06479304043949,-2.06479304043949,-2.06479304043949,-2.06479304043949
"CSM5MCVN",-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,14.3709097745103,-1.93530153165396,-1.93530153165396,-1.93530153165396,14.1719556952131,-1.93530153165396,15.9700062818538,13.0655221159665,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,6.69361190937269,-1.93530153165396,-1.93530153165396,-1.93530153165396,9.3706120639293,-1.93530153165396,-1.93530153165396,6.75264658018477,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,11.0466750081689,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,12.0475785227644,10.649758767511,10.7968626188626,-1.93530153165396,-1.93530153165396,12.220666881221,8.69140158256415,9.06180251800521,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,12.1577354543335,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,14.0927283733845,-1.93530153165396,8.63680994950942,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,11.4740751946564,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396,-1.93530153165396
"CSM5MCW6",-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,15.1294321199303,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,10.9546532138662,-3.06173974442191,-3.06173974442191,11.5361373899565,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,11.0330912749571,-3.06173974442191,-3.06173974442191,-3.06173974442191,6.44358100248716,-3.06173974442191,9.75716712914849,11.8934197936817,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,11.0839454044121,7.64913843403201,-3.06173974442191,-3.06173974442191,6.67457098864671,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,5.44155734180221,-3.06173974442191,-3.06173974442191,-3.06173974442191,10.0351847920329,-3.06173974442191,-3.06173974442191,-3.06173974442191,9.76689934304436,9.35049711588755,-3.06173974442191,-3.06173974442191,11.0651164326924,11.6661663690574,-3.06173974442191,8.73396328554163,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,9.76437429946202,-3.06173974442191,-3.06173974442191,-3.06173974442191,11.6423248141949,6.29538135876246,-3.06173974442191,-3.06173974442191,-3.06173974442191,10.0495242622357,-3.06173974442191,-3.06173974442191,7.57341834334491,7.55030070882401,-3.06173974442191,-3.06173974442191,-3.06173974442191,6.73366135824916,8.31549199175911,9.83005508447416,-3.06173974442191,9.33309616548169,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,11.0197753671868,-3.06173974442191,7.37885502527409,-3.06173974442191,-3.06173974442191,-3.06173974442191,-3.06173974442191,7.97927627639048,-3.06173974442191
"CSM5MCWC",-2.31412533725633,-2.31412533725633,7.59290592890316,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,4.83343393393312,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,5.96252378816553,7.02117227412423,-2.31412533725633,6.86997372351462,9.17308223970827,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,7.80047367037017,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,11.5427968013881,-2.31412533725633,-2.31412533725633,-2.31412533725633,7.40610021640878,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,11.4299010341855,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,13.6097107010378,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,8.18105789667863,-2.31412533725633,-2.31412533725633,-2.31412533725633,12.6340674802018,3.25039507006636,12.6411589662724,-2.31412533725633,15.6312949605679,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,9.19379763609111,-2.31412533725633,-2.31412533725633,-2.31412533725633,7.71118153860089,11.6353661372814,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,7.51307494710768,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,10.4416599356721,-2.31412533725633,7.70985269361442,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,14.030481866925,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633,12.9688196103015,-2.31412533725633,-2.31412533725633,-2.31412533725633,-2.31412533725633
"CSM5MCWE",-1.88624022751761,8.32145460105246,10.1822413675455,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,7.9119423633731,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,8.80048654910501,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,11.8118496041483,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,13.343749005943,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,13.8174803895703,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,13.0586158123953,-1.88624022751761,-1.88624022751761,-1.88624022751761,13.0370805217503,-1.88624022751761,11.800562713259,-1.88624022751761,15.1690466503219,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,9.64414197805208,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,12.1509415984835,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,10.6187919106418,-1.88624022751761,8.13374064045433,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,15.3734873221023,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761,14.8796108611504,-1.88624022751761,-1.88624022751761,-1.88624022751761,-1.88624022751761
"CSM5MCWG",-0.229122555759409,-0.229122555759409,9.56794836807223,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409,17.9267583230567,-0.229122555759409,-0.229122555759409,-0.229122555759409,-0.229122555759409
"CSM5MCWQ",-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,4.62911726128189,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,12.6938032902616,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,10.1440604161695,-4.28429845687558,10.6675731868396,-4.28429845687558,8.65339901790225,12.6383216482552,7.09807403272146,3.20063182641408,-4.28429845687558,-4.28429845687558,-4.28429845687558,9.17303746174017,8.30117249040048,-4.28429845687558,-4.28429845687558,9.66551656981287,-4.28429845687558,11.8971091195093,-4.28429845687558,9.47394415183819,-4.28429845687558,2.69204961357217,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,7.39896875937752,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,8.54283711718797,-4.28429845687558,7.56952515021624,-4.28429845687558,-4.28429845687558,-4.28429845687558,10.7021608651649,-4.28429845687558,7.534794664451,7.75407125717221,-4.28429845687558,-4.28429845687558,9.43785810670544,8.18740618518846,10.6434087037471,-4.28429845687558,-4.28429845687558,9.55362993320475,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,5.43592709678953,-4.28429845687558,4.78344094650158,4.7325785178878,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,10.3130937981802,-4.28429845687558,5.87580610703229,6.01126496664969,-4.28429845687558,11.7948183956657,7.98461282831195,4.3968825846461,3.43483138403115,9.84654168440835,-4.28429845687558,-4.28429845687558,10.5597312703619,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,5.50998788061678,-4.28429845687558,6.0635864137705,6.1380126505376,5.31069188349484,10.6363997247827,7.23352499335684,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,4.14537413701116,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558,-4.28429845687558
"CSM5MCX3",2.85400803967993,-6.02935487723683,-6.02935487723683,-6.02935487723683,6.01320422668583,-6.02935487723683,-6.02935487723683,-6.02935487723683,8.39968102336908,5.56911505600499,-6.02935487723683,-6.02935487723683,6.7608616953638,5.94112833733274,-6.02935487723683,7.22393324844457,-6.02935487723683,8.42410775419296,9.5766929033163,5.23959913370775,9.12218017095168,11.3196247327304,4.97309490273169,8.55305087580699,-6.02935487723683,4.79860980697695,3.30594273414373,7.31466454569333,7.54643930568163,-6.02935487723683,7.37318396843237,-6.02935487723683,8.60763934621449,4.48174920024225,5.04833160425712,-6.02935487723683,7.16216322522212,5.61373005179116,2.07866634413991,-6.02935487723683,-6.02935487723683,-6.02935487723683,4.77715578017255,4.49956295568883,-6.02935487723683,-6.02935487723683,-6.02935487723683,-6.02935487723683,7.97887383841824,4.62510055034294,2.71592960521755,-6.02935487723683,-6.02935487723683,8.0160770109171,-6.02935487723683,5.51624104859432,-6.02935487723683,3.54152296949238,-6.02935487723683,7.63682121761988,-6.02935487723683,5.98828356729762,6.90029958103603,6.5540268564673,-6.02935487723683,-6.02935487723683,5.41369518407232,-6.02935487723683,-6.02935487723683,-6.02935487723683,-6.02935487723683,-6.02935487723683,-6.02935487723683,-6.02935487723683,-6.02935487723683,8.89660793290975,9.3123600167434,-6.02935487723683,4.47874914344568,9.22570901552087,8.26451864814565,-6.02935487723683,7.39172101301337,2.3161005509251,-6.02935487723683,3.59050902297502,-6.02935487723683,-6.02935487723683,9.95487000923113,4.65325110877399,3.66161991634111,-6.02935487723683,-6.02935487723683,-6.02935487723683,6.927876748456,-6.02935487723683,5.71254510587003,2.46169965656971,4.78160463586523,-6.02935487723683,-6.02935487723683,3.11388369119861,5.57021606445635,3.13190028704886,-6.02935487723683,-6.02935487723683,-6.02935487723683,-6.02935487723683,-6.02935487723683,-6.02935487723683,-6.02935487723683,-6.02935487723683,-6.02935487723683,6.5392788548553,2.56868070202351,-6.02935487723683,-6.02935487723683,8.59491509801935,5.480776688429,-6.02935487723683,3.69626120217895,-6.02935487723683
