feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Eggerthella_lenta	diagnosis	CD	1.56902950172423	0.556137954711863	388	48	0.00581994916704013	0.171834498641793
s__Alistipes_putredinis	diagnosis	UC	-4.56539295985075	1.67366661961042	388	221	0.00751316373196011	0.171834498641793
s__Clostridium_bolteae_CAG_59	diagnosis	CD	2.36250022012404	0.78669987396556	388	87	0.00338190080153056	0.171834498641793
s__Clostridium_sp_CAG_242	diagnosis	UC	2.03963119327129	0.741430568573437	388	33	0.00704235668713882	0.171834498641793
s__Ruminococcus_torques	diagnosis	CD	-3.04136007694968	1.07699630493639	388	208	0.00573652508925414	0.171834498641793
s__Roseburia_inulinivorans	diagnosis	CD	-2.92241038965016	1.03655394759763	388	249	0.00586283509472609	0.171834498641793
s__Anaeromassilibacillus_sp_An250	diagnosis	UC	2.21682001480399	0.830012748941276	388	92	0.00885778346684177	0.171834498641793
s__Flavonifractor_plautii	diagnosis	CD	3.15524634842156	0.996618486281736	388	316	0.00204227829618467	0.171834498641793
s__Flavonifractor_plautii	diagnosis	UC	2.94454941770007	1.10864006449936	388	316	0.00915511673091523	0.171834498641793
s__Dielma_fastidiosa	diagnosis	CD	1.861123153783	0.692570597978489	388	70	0.00853425579439292	0.171834498641793
s__Dielma_fastidiosa	diagnosis	UC	2.5946311115095	0.773104887127424	388	70	0.00113259147639582	0.171834498641793
s__Haemophilus_sp_HMSC71H05	diagnosis	UC	2.07639496874476	0.759886235177654	388	76	0.00733687650769127	0.171834498641793
s__Akkermansia_muciniphila	diagnosis	UC	-3.37417854440059	1.2159620785608	388	111	0.00658574533036504	0.171834498641793
s__Collinsella_stercoris	diagnosis	UC	1.47336928053455	0.59441074436602	388	56	0.0147817388440696	0.212161428114881
s__Odoribacter_splanchnicus	diagnosis	UC	-3.81512740646283	1.49634772211414	388	205	0.0122815733678965	0.212161428114881
s__Ruminococcus_bicirculans	diagnosis	CD	-2.95366729988897	1.18074467939138	388	157	0.0140424174862755	0.212161428114881
s__Proteobacteria_bacterium_CAG_139	diagnosis	UC	3.44188952271666	1.36407205276564	388	176	0.0131764328271368	0.212161428114881
s__Alistipes_shahii	diagnosis	UC	-3.16530112677408	1.29136349813697	388	173	0.015958888614756	0.216331601222249
s__Ruminococcus_torques	diagnosis	UC	-2.86059820494118	1.19734557563678	388	208	0.0187401109155012	0.231880806519424
s__Clostridium_saccharolyticum	diagnosis	CD	2.10887232417023	0.891063894740849	388	62	0.0199569546594587	0.231880806519424
s__Firmicutes_bacterium_CAG_83	diagnosis	UC	-2.85479192215828	1.19772879975215	388	160	0.0190541712917638	0.231880806519424
s__Gemmiger_formicilis	diagnosis	CD	-2.01681884659495	0.86424893512701	388	120	0.0217160062598472	0.240850251245578
s__Bifidobacterium_adolescentis	diagnosis	CD	-2.42746360576797	1.05085740166542	388	127	0.0229593484323564	0.243568739891085
s__Collinsella_intestinalis	diagnosis	UC	1.7714862764102	0.804201933254153	388	42	0.0298911727967859	0.265180203815775
s__Alistipes_finegoldii	diagnosis	UC	-3.22810059416661	1.45284484523385	388	224	0.0284884796396998	0.265180203815775
s__Ruminococcus_bromii	diagnosis	CD	-2.48604463606989	1.13193658927305	388	108	0.0304305151919742	0.265180203815775
s__Erysipelatoclostridium_ramosum	diagnosis	CD	1.95201514711959	0.882563032402369	388	65	0.02916381217447	0.265180203815775
s__Turicimonas_muris	diagnosis	UC	2.50841724427021	1.14198116616446	388	152	0.0303282652758512	0.265180203815775
s__Bacteroides_fragilis	diagnosis	CD	3.26664433622936	1.55864677306998	388	185	0.0386267318384358	0.278769781990904
s__Butyricimonas_synergistica	diagnosis	UC	-1.96722197006315	0.951523167172934	388	61	0.0412764177154601	0.278769781990904
s__Alistipes_shahii	diagnosis	CD	-2.47823857981225	1.16490125981098	388	173	0.035854605093587	0.278769781990904
s__Clostridium_sp_CAG_242	diagnosis	CD	1.37211690813696	0.66689090368295	388	33	0.0422724669412436	0.278769781990904
s__Eubacterium_hallii	diagnosis	CD	-1.94551597750971	0.909162849800044	388	215	0.0348324357589991	0.278769781990904
s__Ruminococcus_gnavus	diagnosis	CD	2.77504270191934	1.2972426689947	388	194	0.0348282587483861	0.278769781990904
s__Clostridium_spiroforme	diagnosis	CD	1.4239577643679	0.688597833741599	388	49	0.0411918100585045	0.278769781990904
s__Firmicutes_bacterium_CAG_83	diagnosis	CD	-2.23065402533557	1.07721805147717	388	160	0.0410428805822639	0.278769781990904
s__Acidaminococcus_intestini	diagnosis	CD	2.11467348002794	1.02667097673118	388	41	0.041972176929347	0.278769781990904
