feature	s__Bifidobacterium_adolescentis	s__Bifidobacterium_bifidum	s__Bifidobacterium_longum	s__Bifidobacterium_pseudocatenulatum	s__Collinsella_aerofaciens	s__Collinsella_intestinalis	s__Collinsella_stercoris	s__Eggerthella_lenta	s__Bacteroides_caccae	s__Bacteroides_cellulosilyticus	s__Bacteroides_dorei	s__Bacteroides_eggerthii	s__Bacteroides_faecis	s__Bacteroides_faecis_CAG_32	s__Bacteroides_finegoldii	s__Bacteroides_fragilis	s__Bacteroides_massiliensis	s__Bacteroides_ovatus	s__Bacteroides_stercoris	s__Bacteroides_thetaiotaomicron	s__Bacteroides_uniformis	s__Bacteroides_vulgatus	s__Bacteroides_xylanisolvens	s__Barnesiella_intestinihominis	s__Coprobacter_fastidiosus	s__Butyricimonas_synergistica	s__Butyricimonas_virosa	s__Odoribacter_splanchnicus	s__Paraprevotella_xylaniphila	s__Prevotella_copri	s__Alistipes_finegoldii	s__Alistipes_indistinctus	s__Alistipes_putredinis	s__Alistipes_shahii	s__Parabacteroides_distasonis	s__Parabacteroides_goldsteinii	s__Parabacteroides_merdae	s__Lactobacillus_rogosae	s__Streptococcus_parasanguinis	s__Streptococcus_salivarius	s__Streptococcus_thermophilus	s__Clostridium_bolteae_CAG_59	s__Clostridium_sp_CAG_242	s__Clostridium_sp_CAG_58	s__Hungatella_hathewayi	s__Intestinimonas_butyriciproducens	s__Lawsonibacter_asaccharolyticus	s__Monoglobus_pectinilyticus	s__Eubacterium_eligens	s__Eubacterium_hallii	s__Eubacterium_ramulus	s__Eubacterium_sp_CAG_38	s__Eubacterium_ventriosum	s__Anaerostipes_hadrus	s__Anaerotignum_lactatifermentans	s__Blautia_obeum	s__Blautia_sp_CAG_257	s__Blautia_wexlerae	s__Ruminococcus_gnavus	s__Ruminococcus_torques	s__Coprococcus_catus	s__Coprococcus_comes	s__Dorea_formicigenerans	s__Dorea_longicatena	s__Eisenbergiella_massiliensis	s__Eisenbergiella_tayi	s__Fusicatenibacter_saccharivorans	s__Clostridium_aldenense	s__Clostridium_asparagiforme	s__Clostridium_bolteae	s__Clostridium_citroniae	s__Clostridium_clostridioforme	s__Clostridium_lavalense	s__Clostridium_saccharolyticum	s__Clostridium_symbiosum	s__Lachnospira_pectinoschiza	s__Eubacterium_rectale	s__Roseburia_faecis	s__Roseburia_hominis	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Sellimonas_intestinalis	s__Oscillibacter_sp_57_20	s__Oscillibacter_sp_CAG_241	s__Intestinibacter_bartlettii	s__Agathobaculum_butyriciproducens	s__Anaeromassilibacillus_sp_An250	s__Anaerotruncus_colihominis	s__Faecalibacterium_prausnitzii	s__Flavonifractor_plautii	s__Gemmiger_formicilis	s__Clostridium_leptum	s__Eubacterium_siraeum	s__Ruminococcaceae_bacterium_D16	s__Ruminococcus_bicirculans	s__Ruminococcus_bromii	s__Ruminococcus_lactaris	s__Ruthenibacterium_lactatiformans	s__Dielma_fastidiosa	s__Clostridium_innocuum	s__Clostridium_spiroforme	s__Erysipelatoclostridium_ramosum	s__Holdemania_filiformis	s__Firmicutes_bacterium_CAG_83	s__Firmicutes_bacterium_CAG_94	s__Acidaminococcus_intestini	s__Phascolarctobacterium_faecium	s__Dialister_invisus	s__Veillonella_atypica	s__Veillonella_dispar	s__Veillonella_infantium	s__Veillonella_parvula	s__Veillonella_sp_T11011_6	s__Parasutterella_excrementihominis	s__Sutterella_parvirubra	s__Turicimonas_muris	s__Bilophila_wadsworthia	s__Escherichia_coli	s__Haemophilus_parainfluenzae	s__Haemophilus_sp_HMSC71H05	s__Proteobacteria_bacterium_CAG_139	s__Akkermansia_muciniphila
CSM5MCVN	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	14.3709097745103	-1.93530153165396	-1.93530153165396	-1.93530153165396	14.1719556952131	-1.93530153165396	15.9700062818538	13.0655221159665	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	6.69361190937269	-1.93530153165396	-1.93530153165396	-1.93530153165396	9.3706120639293	-1.93530153165396	-1.93530153165396	6.75264658018477	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	11.0466750081689	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	12.0475785227644	10.649758767511	10.7968626188626	-1.93530153165396	-1.93530153165396	12.220666881221	8.69140158256415	9.06180251800521	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	12.1577354543335	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	14.0927283733845	-1.93530153165396	8.63680994950942	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	11.4740751946564	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396	-1.93530153165396
CSM5MCWE	-1.88624022751761	8.32145460105246	10.1822413675455	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	7.9119423633731	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	8.80048654910501	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	11.8118496041483	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	13.343749005943	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	13.8174803895703	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	13.0586158123953	-1.88624022751761	-1.88624022751761	-1.88624022751761	13.0370805217503	-1.88624022751761	11.800562713259	-1.88624022751761	15.1690466503219	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	9.64414197805208	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	12.1509415984835	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	10.6187919106418	-1.88624022751761	8.13374064045433	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	15.3734873221023	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761	14.8796108611504	-1.88624022751761	-1.88624022751761	-1.88624022751761	-1.88624022751761
CSM5MCX3	2.85400803967993	-6.02935487723683	-6.02935487723683	-6.02935487723683	6.01320422668583	-6.02935487723683	-6.02935487723683	-6.02935487723683	8.39968102336908	5.56911505600499	-6.02935487723683	-6.02935487723683	6.7608616953638	5.94112833733274	-6.02935487723683	7.22393324844457	-6.02935487723683	8.42410775419296	9.5766929033163	5.23959913370775	9.12218017095168	11.3196247327304	4.97309490273169	8.55305087580699	-6.02935487723683	4.79860980697695	3.30594273414373	7.31466454569333	7.54643930568163	-6.02935487723683	7.37318396843237	-6.02935487723683	8.60763934621449	4.48174920024225	5.04833160425712	-6.02935487723683	7.16216322522212	5.61373005179116	2.07866634413991	-6.02935487723683	-6.02935487723683	-6.02935487723683	4.77715578017255	4.49956295568883	-6.02935487723683	-6.02935487723683	-6.02935487723683	-6.02935487723683	7.97887383841824	4.62510055034294	2.71592960521755	-6.02935487723683	-6.02935487723683	8.0160770109171	-6.02935487723683	5.51624104859432	-6.02935487723683	3.54152296949238	-6.02935487723683	7.63682121761988	-6.02935487723683	5.98828356729762	6.90029958103603	6.5540268564673	-6.02935487723683	-6.02935487723683	5.41369518407232	-6.02935487723683	-6.02935487723683	-6.02935487723683	-6.02935487723683	-6.02935487723683	-6.02935487723683	-6.02935487723683	-6.02935487723683	8.89660793290975	9.3123600167434	-6.02935487723683	4.47874914344568	9.22570901552087	8.26451864814565	-6.02935487723683	7.39172101301337	2.3161005509251	-6.02935487723683	3.59050902297502	-6.02935487723683	-6.02935487723683	9.95487000923113	4.65325110877399	3.66161991634111	-6.02935487723683	-6.02935487723683	-6.02935487723683	6.927876748456	-6.02935487723683	5.71254510587003	2.46169965656971	4.78160463586523	-6.02935487723683	-6.02935487723683	3.11388369119861	5.57021606445635	3.13190028704886	-6.02935487723683	-6.02935487723683	-6.02935487723683	-6.02935487723683	-6.02935487723683	-6.02935487723683	-6.02935487723683	-6.02935487723683	-6.02935487723683	6.5392788548553	2.56868070202351	-6.02935487723683	-6.02935487723683	8.59491509801935	5.480776688429	-6.02935487723683	3.69626120217895	-6.02935487723683
CSM5MCXL	-4.7289651349759	-4.7289651349759	5.54543058685969	-4.7289651349759	5.7139646522721	-4.7289651349759	-4.7289651349759	-4.7289651349759	10.6980214570409	8.93011497980763	-4.7289651349759	-4.7289651349759	7.70428690687895	-4.7289651349759	9.90141055393002	-4.7289651349759	-4.7289651349759	10.4566573011751	12.2025221892152	-4.7289651349759	11.9434322665414	12.4420562542854	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	9.15889492136152	-4.7289651349759	9.83385450454686	5.3932964363565	-4.7289651349759	-4.7289651349759	-4.7289651349759	6.2297225545899	7.08562666525223	8.43841176022873	-4.7289651349759	6.73604028715951	5.78349963503338	-4.7289651349759	6.92399180126071	2.01744699359748	-4.7289651349759	-4.7289651349759	-4.7289651349759	6.08963245268622	6.97755971895983	-4.7289651349759	-4.7289651349759	5.22478768370778	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	4.44688730654161	6.55920297720272	-4.7289651349759	7.46286151653704	-4.7289651349759	-4.7289651349759	5.93184086432791	4.08104691299727	-4.7289651349759	4.40998664091263	4.32950528766216	-4.7289651349759	8.92475681497623	10.4466731544383	-4.7289651349759	-4.7289651349759	-4.7289651349759	9.10493626987768	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	5.23660479985678	6.24355140368667	9.3087132984857	9.79059841837532	-4.7289651349759	3.92642355519174	-4.7289651349759	-4.7289651349759	-4.7289651349759	7.01110387067382	5.50745267448515	5.68946953628539	3.2575398035781	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	7.85657423726025	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	-4.7289651349759	9.25211155504507	-4.7289651349759	6.72761217604046	6.42329170764183	-4.7289651349759	-4.7289651349759	-4.7289651349759	6.33189091698475	10.2521217264048
CSM5MCY8	-5.55534508133124	-5.55534508133124	2.72384469586376	-5.55534508133124	5.09366860660974	-5.55534508133124	-5.55534508133124	-5.55534508133124	-5.55534508133124	-5.55534508133124	11.6907809062947	-5.55534508133124	8.16833633099286	-5.55534508133124	-5.55534508133124	7.44530479625249	-5.55534508133124	-5.55534508133124	10.5034856916898	10.4842744092773	10.7999682934945	-5.55534508133124	-5.55534508133124	-5.55534508133124	-5.55534508133124	5.76279345592839	5.2670497768622	-5.55534508133124	-5.55534508133124	-5.55534508133124	8.22472584616865	-5.55534508133124	9.7790397466103	-5.55534508133124	9.47650183625618	-5.55534508133124	10.4178231742406	-5.55534508133124	-5.55534508133124	-5.55534508133124	4.32184982924996	-5.55534508133124	5.84363871049332	6.38663831279658	-5.55534508133124	5.49556079693233	3.36477667054116	7.54397686952443	7.17581401723712	-5.55534508133124	4.70129622301664	-5.55534508133124	-5.55534508133124	-5.55534508133124	-5.55534508133124	-5.55534508133124	-5.55534508133124	4.62239730034264	-5.55534508133124	-5.55534508133124	-5.55534508133124	-5.55534508133124	4.40362448066389	7.03748884111331	-5.55534508133124	-5.55534508133124	6.38644295705315	-5.55534508133124	-5.55534508133124	3.35672401663889	3.18675011441407	4.74795831891435	4.98606759726461	-5.55534508133124	-5.55534508133124	7.10285676847098	8.17963956890382	-5.55534508133124	4.74460047015308	7.88666549654185	7.59116637018539	-5.55534508133124	5.83711751042334	4.02248158079532	-5.55534508133124	5.91028959484429	-5.55534508133124	-5.55534508133124	8.85105343864911	7.19563862273307	-5.55534508133124	5.31381366917648	4.2002803104625	4.00219549062113	6.5538366356694	7.04456196374311	6.68194033768145	6.04962158980273	7.44263578168264	-5.55534508133124	-5.55534508133124	-5.55534508133124	-5.55534508133124	7.20467302043228	-5.55534508133124	-5.55534508133124	7.40205166752025	-5.55534508133124	-5.55534508133124	-5.55534508133124	-5.55534508133124	-5.55534508133124	-5.55534508133124	7.32899204474765	-5.55534508133124	4.78836321060333	6.22685150995697	8.24108560808381	-5.55534508133124	-5.55534508133124	7.91769066052399	3.53406982271606
CSM5MCZ3	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	8.18097396905833	-3.77894874632568	-3.77894874632568	14.0166090248838	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	11.4168358368489	-3.77894874632568	-3.77894874632568	11.5981491283705	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	11.0882016331247	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	8.24602759148623	11.5013486794912	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	11.7083623170948	8.47506131893833	7.15095667533007	-3.77894874632568	9.21928122443085	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	9.52577118726012	-3.77894874632568	-3.77894874632568	-3.77894874632568	9.99149226737084	-3.77894874632568	-3.77894874632568	-3.77894874632568	10.4367336014908	11.4767525636486	-3.77894874632568	-3.77894874632568	9.75469082209154	10.8539515644985	-3.77894874632568	9.25230979640225	7.14484715245398	-3.77894874632568	-3.77894874632568	-3.77894874632568	5.81808157843233	-3.77894874632568	-3.77894874632568	-3.77894874632568	10.9137170427288	8.19456743510215	-3.77894874632568	-3.77894874632568	-3.77894874632568	8.95286079530602	-3.77894874632568	-3.77894874632568	9.4514094738479	4.83191692095319	8.56823710212881	7.31148243366852	8.13697879598122	8.22366654684032	9.06227378475028	9.13990457511156	-3.77894874632568	10.0656457438657	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	11.7929291360502	-3.77894874632568	8.30213307473614	-3.77894874632568	-3.77894874632568	-3.77894874632568	-3.77894874632568	8.96438013655688	-3.77894874632568
CSM5MCZF	2.83613878076215	5.90972439148019	4.90167337081865	-4.42297734733495	6.36036514243412	-4.42297734733495	-4.42297734733495	-4.42297734733495	10.4557189923649	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	9.6118944178902	10.529240900037	9.48262159876091	12.6735313023424	11.9618714612552	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	9.19894967514816	-4.42297734733495	-4.42297734733495	8.92342677878161	3.79607931372565	11.2006762334829	-4.42297734733495	9.3766385572461	-4.42297734733495	9.57200989126446	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	7.60223866787234	-4.42297734733495	-4.42297734733495	7.19494756811692	6.12133724856143	5.86342290883883	10.3032045834378	-4.42297734733495	-4.42297734733495	6.89503967733583	-4.42297734733495	8.35836225087578	-4.42297734733495	8.09874874854842	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	6.94632021204494	-4.42297734733495	8.42118156949603	-4.42297734733495	-4.42297734733495	8.5481933045121	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	11.36750980773	11.0397756415786	-4.42297734733495	-4.42297734733495	9.36052744701823	-4.42297734733495	10.3424989218469	-4.42297734733495	-4.42297734733495	6.62967301246719	-4.42297734733495	-4.42297734733495	11.9871743711961	9.83296061873181	-4.42297734733495	6.62395244578708	9.56247934006585	4.1969529215324	7.44068245103694	8.88077548592553	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	6.18239410920351	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	-4.42297734733495	4.8218610650488	-4.42297734733495	-4.42297734733495	-4.42297734733495	3.32677605893949	6.67565919391732	-4.42297734733495	-4.42297734733495
CSM67UA2	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	10.7966039441069	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	10.864400885012	-3.3925858616701	-3.3925858616701	-3.3925858616701	13.2451039171122	13.7568780691743	14.0256518860937	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	11.4741661630499	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	7.75924060192052	9.02087080354053	-3.3925858616701	-3.3925858616701	8.42886053068462	-3.3925858616701	8.83774515584017	-3.3925858616701	8.76314566758597	8.02801595935458	-3.3925858616701	6.56116695701358	4.15227520698835	-3.3925858616701	8.06060021454926	-3.3925858616701	-3.3925858616701	-3.3925858616701	8.22713808458964	-3.3925858616701	-3.3925858616701	9.11843518167653	-3.3925858616701	5.25581101536148	7.63892714010248	-3.3925858616701	4.00436274095091	-3.3925858616701	7.36894871429869	-3.3925858616701	-3.3925858616701	-3.3925858616701	11.0903031980121	6.83229654717796	-3.3925858616701	7.28218977180991	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	4.35716754460433	-3.3925858616701	7.86893802836492	10.6494871963367	11.2407117947144	-3.3925858616701	6.34254220908812	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	7.30255847307204	9.24289951167315	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	10.3339415584794	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	-3.3925858616701	8.83427422019026	-3.3925858616701	-3.3925858616701	-3.3925858616701	11.7818969344395
CSM67UAA	-3.67705951035872	7.49970766870262	6.69301960694615	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	8.56075886473163	7.87864762770679	9.04575422799948	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	8.56322613834109	7.74638972418316	8.96639994746116	11.2424060385882	7.72784635115571	6.30989564741867	-3.67705951035872	-3.67705951035872	-3.67705951035872	7.21617367585841	-3.67705951035872	-3.67705951035872	4.35269901008211	-3.67705951035872	9.7105424582139	3.60294874252547	8.02500588007513	-3.67705951035872	5.47998556455924	-3.67705951035872	4.96606123765531	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	5.61679446184528	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	5.96901649274388	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	11.7640833206584	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	13.2841366759582	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	8.19731647730026	8.38138861357226	-3.67705951035872	9.4768044720876	6.36012817056525	-3.67705951035872	5.88822430737805	-3.67705951035872	6.92209704028087	-3.67705951035872	-3.67705951035872	-3.67705951035872	9.24326356743708	6.65009318692953	-3.67705951035872	-3.67705951035872	6.23593272919166	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	8.79226546672907	-3.67705951035872	-3.67705951035872	-3.67705951035872	-3.67705951035872	4.30262179202902	-3.67705951035872	6.26136072871743	-3.67705951035872	-3.67705951035872	13.4517734431114	-3.67705951035872	7.57126218432181	-3.67705951035872	-3.67705951035872	-3.67705951035872	12.7851428035422	7.37368762766704	7.08107738550298	-3.67705951035872	-3.67705951035872
CSM67UAQ	-2.82816293496442	-2.82816293496442	8.34860424409691	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	12.4169243893456	12.2670587768346	13.793478163469	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	14.3845922360887	-2.82816293496442	10.8005613140167	14.414755196853	6.91638750101048	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	13.2889593424195	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	7.14908610113376	-2.82816293496442	7.0658296830099	3.00371954231909	9.04683985477098	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	10.1526161405759	-2.82816293496442	-2.82816293496442	8.28146008166227	11.057462131883	-2.82816293496442	-2.82816293496442	-2.82816293496442	8.32452410153398	7.32066009639241	-2.82816293496442	10.2576215166914	-2.82816293496442	6.18749985800822	7.60480515143486	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	10.6738566818423	8.52519219031782	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	9.02764986012924	-2.82816293496442	8.9492092400622	-2.82816293496442	-2.82816293496442	10.1845440460186	-2.82816293496442	-2.82816293496442	8.66589566474773	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	7.73752277998763	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442	-2.82816293496442
