feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Eggerthella_lenta	diagnosis	CD	1.56902950172423	0.556137954711863	388	48	0.00581994916704013	0.171834498641793
s__Alistipes_putredinis	diagnosis	UC	-4.56539295985075	1.67366661961042	388	221	0.00751316373196011	0.171834498641793
s__Clostridium_bolteae_CAG_59	diagnosis	CD	2.36250022012404	0.78669987396556	388	87	0.00338190080153056	0.171834498641793
s__Clostridium_sp_CAG_242	diagnosis	UC	2.03963119327129	0.741430568573437	388	33	0.00704235668713882	0.171834498641793
s__Ruminococcus_torques	diagnosis	CD	-3.04136007694968	1.07699630493639	388	208	0.00573652508925414	0.171834498641793
s__Roseburia_inulinivorans	diagnosis	CD	-2.92241038965016	1.03655394759763	388	249	0.00586283509472609	0.171834498641793
s__Anaeromassilibacillus_sp_An250	diagnosis	UC	2.21682001480399	0.830012748941276	388	92	0.00885778346684177	0.171834498641793
s__Flavonifractor_plautii	diagnosis	CD	3.15524634842156	0.996618486281736	388	316	0.00204227829618467	0.171834498641793
s__Flavonifractor_plautii	diagnosis	UC	2.94454941770007	1.10864006449936	388	316	0.00915511673091523	0.171834498641793
s__Dielma_fastidiosa	diagnosis	CD	1.861123153783	0.692570597978489	388	70	0.00853425579439292	0.171834498641793
s__Dielma_fastidiosa	diagnosis	UC	2.5946311115095	0.773104887127424	388	70	0.00113259147639582	0.171834498641793
s__Haemophilus_sp_HMSC71H05	diagnosis	UC	2.07639496874476	0.759886235177654	388	76	0.00733687650769127	0.171834498641793
s__Akkermansia_muciniphila	diagnosis	UC	-3.37417854440059	1.2159620785608	388	111	0.00658574533036504	0.171834498641793
s__Collinsella_stercoris	diagnosis	UC	1.47336928053455	0.59441074436602	388	56	0.0147817388440696	0.212161428114881
s__Odoribacter_splanchnicus	diagnosis	UC	-3.81512740646283	1.49634772211414	388	205	0.0122815733678965	0.212161428114881
s__Ruminococcus_bicirculans	diagnosis	CD	-2.95366729988897	1.18074467939138	388	157	0.0140424174862755	0.212161428114881
s__Proteobacteria_bacterium_CAG_139	diagnosis	UC	3.44188952271666	1.36407205276564	388	176	0.0131764328271368	0.212161428114881
s__Alistipes_shahii	diagnosis	UC	-3.16530112677408	1.29136349813697	388	173	0.015958888614756	0.216331601222249
s__Ruminococcus_torques	diagnosis	UC	-2.86059820494118	1.19734557563678	388	208	0.0187401109155012	0.231880806519424
s__Clostridium_saccharolyticum	diagnosis	CD	2.10887232417023	0.891063894740849	388	62	0.0199569546594587	0.231880806519424
s__Firmicutes_bacterium_CAG_83	diagnosis	UC	-2.85479192215828	1.19772879975215	388	160	0.0190541712917638	0.231880806519424
s__Gemmiger_formicilis	diagnosis	CD	-2.01681884659495	0.86424893512701	388	120	0.0217160062598472	0.240850251245578
s__Bifidobacterium_adolescentis	diagnosis	CD	-2.42746360576797	1.05085740166542	388	127	0.0229593484323564	0.243568739891085
